cve,cve_description
CVE-2023-51699,"
## CVE Details

ID: CVE-2023-51699
As of 05/19/2026, this issue is not currently on the CISA Known Exploited Vulnerabilities List
Source Identifier: security-advisories@github.com
Published: 2024-03-15T19:15:06.810
Last Modified: 2025-04-09T15:33:17.013
Status: Analyzed

### Scores

#### CVSS 3.1 Score - Secondary - security-advisories@github.com

Base Severity: MEDIUM - 4.0 (Exploitability: 0.3, Impact: 3.6)
Vector: [CVSS:3.1/AV:L/AC:H/PR:H/UI:R/S:U/C:H/I:N/A:N](https://www.first.org/cvss/calculator/3.1#CVSS:3.1/AV:L/AC:H/PR:H/UI:R/S:U/C:H/I:N/A:N)

#### CVSS 3.1 Score - Primary - nvd@nist.gov

Base Severity: MEDIUM - 6.0 (Exploitability: 0.8, Impact: 5.2)
Vector: [CVSS:3.1/AV:L/AC:L/PR:H/UI:N/S:U/C:H/I:H/A:N](https://www.first.org/cvss/calculator/3.1#CVSS:3.1/AV:L/AC:L/PR:H/UI:N/S:U/C:H/I:H/A:N)

### Description

Fluid is an open source Kubernetes-native Distributed Dataset Orchestrator and Accelerator for data-intensive applications. An OS command injection vulnerability within the Fluid project's JuicefsRuntime can potentially allow an authenticated user, who has the authority to create or update the K8s CRD Dataset/JuicefsRuntime, to execute arbitrary OS commands within the juicefs related containers. This could lead to unauthorized access, modification or deletion of data. Users who're using versions < 0.9.3 with JuicefsRuntime should upgrade to v0.9.3.

### Weaknesses

| Weakness | Type | Source |
| --- | --- | --- |
| [[CWE-78]] | Secondary | security-advisories@github.com |
| [[CWE-78]] | Primary | nvd@nist.gov |

### Configurations

#### Configuration 1 (Operator: OR, Negate: False)

##### Node 1

- cpe:2.3:a:linuxfoundation:fluid:\*:\*:\*:\*:\*:\*:\*:\*
  - End Version: 0.9.3 (Excluding)
"
CVE-2021-20329,"
## CVE Details

ID: CVE-2021-20329
As of 05/19/2026, this issue is not currently on the CISA Known Exploited Vulnerabilities List
Source Identifier: cna@mongodb.com
Published: 2021-06-10T17:15:08.047
Last Modified: 2024-11-21T05:46:23.420
Status: Modified

### Scores

#### CVSS 3.1 Score - Secondary - cna@mongodb.com

Base Severity: MEDIUM - 6.8 (Exploitability: 1.6, Impact: 5.2)
Vector: [CVSS:3.1/AV:N/AC:H/PR:L/UI:N/S:U/C:H/I:H/A:N](https://www.first.org/cvss/calculator/3.1#CVSS:3.1/AV:N/AC:H/PR:L/UI:N/S:U/C:H/I:H/A:N)

#### CVSS 3.1 Score - Primary - nvd@nist.gov

Base Severity: MEDIUM - 6.5 (Exploitability: 2.8, Impact: 3.6)
Vector: [CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:N/I:H/A:N](https://www.first.org/cvss/calculator/3.1#CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:N/I:H/A:N)

#### CVSS 2.0 Score - Primary - nvd@nist.gov

Base Severity: MEDIUM - 4.0 (Exploitability: 8.0, Impact: 2.9)
Vector: [AV:N/AC:L/Au:S/C:N/I:P/A:N](https://nvd.nist.gov/vuln-metrics/cvss/v2-calculator?vector=(AV:N/AC:L/Au:S/C:N/I:P/A:N))

### Description

Specific cstrings input may not be properly validated in the MongoDB Go Driver when marshalling Go objects into BSON. A malicious user could use a Go object with specific string to potentially inject additional fields into marshalled documents. This issue affects all MongoDB GO Drivers prior to and including 1.5.0.

### Weaknesses

| Weakness | Type | Source |
| --- | --- | --- |
| [[CWE-1287]] | Secondary | cna@mongodb.com |
| [[CWE-20]] | Primary | nvd@nist.gov |

### Configurations

#### Configuration 1 (Operator: OR, Negate: False)

##### Node 1

- cpe:2.3:a:mongodb:go_driver:\*:\*:\*:\*:\*:mongodb:\*:\*
  - End Version: 1.5.0 (Including)
"
CVE-2024-39696,"
## CVE Details

ID: CVE-2024-39696
As of 05/19/2026, this issue is not currently on the CISA Known Exploited Vulnerabilities List
Source Identifier: security-advisories@github.com
Published: 2024-07-05T19:15:10.673
Last Modified: 2025-03-07T16:46:59.827
Status: Analyzed

### Scores

#### CVSS 3.1 Score - Secondary - security-advisories@github.com

Base Severity: HIGH - 8.8 (Exploitability: 2.8, Impact: 5.9)
Vector: [CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H](https://www.first.org/cvss/calculator/3.1#CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H)

#### CVSS 3.1 Score - Primary - nvd@nist.gov

Base Severity: HIGH - 8.1 (Exploitability: 2.8, Impact: 5.2)
Vector: [CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:N/I:H/A:H](https://www.first.org/cvss/calculator/3.1#CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:N/I:H/A:H)

### Description

Evmos is a decentralized Ethereum Virtual Machine chain on the Cosmos Network. Prior to version 19.0.0, a user can create a vesting account with a 3rd party account (EOA or contract) as funder. Then, this user can create an authorization for the contract.CallerAddress, this is the authorization checked in the code. But the funds are taken from the funder address provided in the message. Consequently, the user can fund a vesting account with a 3rd party account without its permission. The funder address can be any address, so this vulnerability can be used to drain all the accounts in the chain. The issue has been patched in version 19.0.0.

### Weaknesses

| Weakness | Type | Source |
| --- | --- | --- |
| [[CWE-863]] | Secondary | security-advisories@github.com |
| [[CWE-863]] | Primary | nvd@nist.gov |

### Configurations

#### Configuration 1 (Operator: OR, Negate: False)

##### Node 1

- cpe:2.3:a:evmos:evmos:\*:\*:\*:\*:\*:\*:\*:\*
  - End Version: 19.0.0 (Excluding)
"
CVE-2022-31022,"
## CVE Details

ID: CVE-2022-31022
As of 05/19/2026, this issue is not currently on the CISA Known Exploited Vulnerabilities List
Source Identifier: security-advisories@github.com
Published: 2022-06-01T20:15:08.037
Last Modified: 2025-05-27T21:09:18.610
Status: Analyzed

### Scores

#### CVSS 3.1 Score - Secondary - security-advisories@github.com

Base Severity: MEDIUM - 6.2 (Exploitability: 2.5, Impact: 3.6)
Vector: [CVSS:3.1/AV:L/AC:L/PR:N/UI:N/S:U/C:N/I:H/A:N](https://www.first.org/cvss/calculator/3.1#CVSS:3.1/AV:L/AC:L/PR:N/UI:N/S:U/C:N/I:H/A:N)

#### CVSS 3.1 Score - Primary - nvd@nist.gov

Base Severity: MEDIUM - 5.5 (Exploitability: 1.8, Impact: 3.6)
Vector: [CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:N/I:H/A:N](https://www.first.org/cvss/calculator/3.1#CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:N/I:H/A:N)

#### CVSS 2.0 Score - Primary - nvd@nist.gov

Base Severity: LOW - 2.1 (Exploitability: 3.9, Impact: 2.9)
Vector: [AV:L/AC:L/Au:N/C:N/I:P/A:N](https://nvd.nist.gov/vuln-metrics/cvss/v2-calculator?vector=(AV:L/AC:L/Au:N/C:N/I:P/A:N))

### Description

Bleve is a text indexing library for go. Bleve includes HTTP utilities under bleve/http package, that are used by its sample application. These HTTP methods pave way for exploitation of a node’s filesystem where the bleve index resides, if the user has used bleve’s own HTTP (bleve/http) handlers for exposing the access to the indexes. For instance, the CreateIndexHandler (`http/index_create.go`) and DeleteIndexHandler (`http/index_delete.go`) enable an attacker to create a bleve index (directory structure) anywhere where the user running the server has the write permissions and to delete recursively any directory owned by the same user account. Users who have used the bleve/http package for exposing access to bleve index without the explicit 
handling for the Role Based Access Controls(RBAC) of the index assets would be impacted by this issue. Version 2.5.0 relocated the `http/` dir used _only_ by bleve-explorer to `blevesearch/bleve-explorer`, thereby addressing the issue. However, the http package is purely intended to be used for demonstration purposes. Bleve was never designed handle the RBACs, nor it was ever advertised to be used in that way. The collaborators of this project have decided to stay away from adding any authentication or authorization to bleve project at the moment. The bleve/http package is mainly for demonstration purposes and it lacks exhaustive validation of the user inputs as well as any authentication and authorization measures. It is recommended to not use bleve/http in production use cases.

### Weaknesses

| Weakness | Type | Source |
| --- | --- | --- |
| [[CWE-288]] | Secondary | security-advisories@github.com |
| [[CWE-306]] | Primary | nvd@nist.gov |

### Configurations

#### Configuration 1 (Operator: OR, Negate: False)

##### Node 1

- cpe:2.3:a:couchbase:bleve:\*:\*:\*:\*:\*:\*:\*:\*
  - Start Version:  0.1.0 (Including)
"
CVE-2020-10750,"
## CVE Details

ID: CVE-2020-10750
As of 05/19/2026, this issue is not currently on the CISA Known Exploited Vulnerabilities List
Source Identifier: secalert@redhat.com
Published: 2020-06-19T20:15:12.867
Last Modified: 2024-11-21T04:55:59.463
Status: Modified

### Scores

#### CVSS 3.1 Score - Secondary - secalert@redhat.com

Base Severity: HIGH - 7.1 (Exploitability: 1.8, Impact: 5.2)
Vector: [CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:N](https://www.first.org/cvss/calculator/3.1#CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:N)

#### CVSS 3.1 Score - Primary - nvd@nist.gov

Base Severity: MEDIUM - 5.5 (Exploitability: 1.8, Impact: 3.6)
Vector: [CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:H/I:N/A:N](https://www.first.org/cvss/calculator/3.1#CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:H/I:N/A:N)

#### CVSS 2.0 Score - Primary - nvd@nist.gov

Base Severity: LOW - 2.1 (Exploitability: 3.9, Impact: 2.9)
Vector: [AV:L/AC:L/Au:N/C:P/I:N/A:N](https://nvd.nist.gov/vuln-metrics/cvss/v2-calculator?vector=(AV:L/AC:L/Au:N/C:P/I:N/A:N))

### Description

Sensitive information written to a log file vulnerability was found in jaegertracing/jaeger before version 1.18.1 when the Kafka data store is used. This flaw allows an attacker with access to the container's log file to discover the Kafka credentials.

### Weaknesses

| Weakness | Type | Source |
| --- | --- | --- |
| [[CWE-200]] | Secondary | secalert@redhat.com |
| [[CWE-532]] | Primary | nvd@nist.gov |

### Configurations

#### Configuration 1 (Operator: OR, Negate: False)

##### Node 1

- cpe:2.3:a:linuxfoundation:jaeger:\*:\*:\*:\*:\*:\*:\*:\*
  - End Version: 1.18.1 (Excluding)
"
CVE-2023-22460,"
## CVE Details

ID: CVE-2023-22460
As of 05/19/2026, this issue is not currently on the CISA Known Exploited Vulnerabilities List
Source Identifier: security-advisories@github.com
Published: 2023-01-04T15:15:09.437
Last Modified: 2024-11-21T07:44:50.930
Status: Modified

### Scores

#### CVSS 3.1 Score - Secondary - security-advisories@github.com

Base Severity: HIGH - 7.5 (Exploitability: 3.9, Impact: 3.6)
Vector: [CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H](https://www.first.org/cvss/calculator/3.1#CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H)

#### CVSS 3.1 Score - Primary - nvd@nist.gov

Base Severity: HIGH - 7.5 (Exploitability: 3.9, Impact: 3.6)
Vector: [CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H](https://www.first.org/cvss/calculator/3.1#CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H)

### Description

go-ipld-prime is an implementation of the InterPlanetary Linked Data (IPLD) spec interfaces, a batteries-included codec implementations of IPLD for CBOR and JSON, and tooling for basic operations on IPLD objects. Encoding data which contains a Bytes kind Node will pass a Bytes token to the JSON encoder which will panic as it doesn't expect to receive Bytes tokens. Such an encode should be treated as an error, as plain JSON should not be able to encode Bytes. This only impacts uses of the `json` codec. `dag-json` is not impacted. Use of `json` as a decoder is not impacted. This issue is fixed in v0.19.0. As a workaround, one may prefer the `dag-json` codec, which has the ability to encode bytes.

### Weaknesses

| Weakness | Type | Source |
| --- | --- | --- |
| [[CWE-20]] | Secondary | security-advisories@github.com |

### Configurations

#### Configuration 1 (Operator: OR, Negate: False)

##### Node 1

- cpe:2.3:a:protocol:go-ipld-prime:\*:\*:\*:\*:\*:go:\*:\*
  - End Version: 0.19.0 (Excluding)
"
CVE-2024-36127,"
## CVE Details

ID: CVE-2024-36127
As of 05/19/2026, this issue is not currently on the CISA Known Exploited Vulnerabilities List
Source Identifier: security-advisories@github.com
Published: 2024-06-03T15:15:09.307
Last Modified: 2026-04-15T00:35:42.020
Status: Deferred

### Scores

#### CVSS 3.1 Score - Secondary - security-advisories@github.com

Base Severity: HIGH - 7.5 (Exploitability: 3.9, Impact: 3.6)
Vector: [CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:N/A:N](https://www.first.org/cvss/calculator/3.1#CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:N/A:N)

### Description

apko is an apk-based OCI image builder. apko exposures HTTP basic auth credentials from repository and keyring URLs in log output. This vulnerability is fixed in v0.14.5.

### Weaknesses

| Weakness | Type | Source |
| --- | --- | --- |
| [[CWE-522]] | Secondary | security-advisories@github.com |

### Configurations

No configurations defined
"
CVE-2022-39340,"
## CVE Details

ID: CVE-2022-39340
As of 05/19/2026, this issue is not currently on the CISA Known Exploited Vulnerabilities List
Source Identifier: security-advisories@github.com
Published: 2022-10-25T17:15:56.213
Last Modified: 2024-11-21T07:18:04.393
Status: Modified

### Scores

#### CVSS 3.1 Score - Secondary - security-advisories@github.com

Base Severity: MEDIUM - 5.3 (Exploitability: 3.9, Impact: 1.4)
Vector: [CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:L/I:N/A:N](https://www.first.org/cvss/calculator/3.1#CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:L/I:N/A:N)

#### CVSS 3.1 Score - Primary - nvd@nist.gov

Base Severity: MEDIUM - 5.3 (Exploitability: 3.9, Impact: 1.4)
Vector: [CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:L/I:N/A:N](https://www.first.org/cvss/calculator/3.1#CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:L/I:N/A:N)

### Description

OpenFGA is an authorization/permission engine. Prior to version 0.2.4, the `streamed-list-objects` endpoint was not validating the authorization header, resulting in disclosure of objects in the store. Users `openfga/openfga` versions 0.2.3 and prior who are exposing the OpenFGA service to the internet are vulnerable. Version 0.2.4 contains a patch for this issue.

### Weaknesses

| Weakness | Type | Source |
| --- | --- | --- |
| [[CWE-285]] | Secondary | security-advisories@github.com |
| [[CWE-862]] | Primary | nvd@nist.gov |

### Configurations

#### Configuration 1 (Operator: OR, Negate: False)

##### Node 1

- cpe:2.3:a:openfga:openfga:\*:\*:\*:\*:\*:\*:\*:\*
  - End Version: 0.2.4 (Excluding)
"
CVE-2022-39341,"
## CVE Details

ID: CVE-2022-39341
As of 05/19/2026, this issue is not currently on the CISA Known Exploited Vulnerabilities List
Source Identifier: security-advisories@github.com
Published: 2022-10-25T17:15:56.273
Last Modified: 2024-11-21T07:18:04.517
Status: Modified

### Scores

#### CVSS 3.1 Score - Secondary - security-advisories@github.com

Base Severity: MEDIUM - 5.9 (Exploitability: 2.2, Impact: 3.6)
Vector: [CVSS:3.1/AV:N/AC:H/PR:N/UI:N/S:U/C:N/I:H/A:N](https://www.first.org/cvss/calculator/3.1#CVSS:3.1/AV:N/AC:H/PR:N/UI:N/S:U/C:N/I:H/A:N)

#### CVSS 3.1 Score - Primary - nvd@nist.gov

Base Severity: CRITICAL - 9.8 (Exploitability: 3.9, Impact: 5.9)
Vector: [CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H](https://www.first.org/cvss/calculator/3.1#CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H)

### Description

OpenFGA is an authorization/permission engine. Versions prior to version 0.2.4 are vulnerable to authorization bypass under certain conditions. Users who have wildcard (`*`) defined on tupleset relations in their authorization model are vulnerable. Version 0.2.4 contains a patch for this issue.

### Weaknesses

| Weakness | Type | Source |
| --- | --- | --- |
| [[CWE-285]] | Secondary | security-advisories@github.com |
| [[NVD-CWE-Other]] | Primary | nvd@nist.gov |

### Configurations

#### Configuration 1 (Operator: OR, Negate: False)

##### Node 1

- cpe:2.3:a:openfga:openfga:\*:\*:\*:\*:\*:\*:\*:\*
  - End Version: 0.2.4 (Excluding)
"
CVE-2022-39342,"
## CVE Details

ID: CVE-2022-39342
As of 05/19/2026, this issue is not currently on the CISA Known Exploited Vulnerabilities List
Source Identifier: security-advisories@github.com
Published: 2022-10-25T17:15:56.333
Last Modified: 2024-11-21T07:18:04.627
Status: Modified

### Scores

#### CVSS 3.1 Score - Secondary - security-advisories@github.com

Base Severity: MEDIUM - 5.9 (Exploitability: 2.2, Impact: 3.6)
Vector: [CVSS:3.1/AV:N/AC:H/PR:N/UI:N/S:U/C:N/I:H/A:N](https://www.first.org/cvss/calculator/3.1#CVSS:3.1/AV:N/AC:H/PR:N/UI:N/S:U/C:N/I:H/A:N)

#### CVSS 3.1 Score - Primary - nvd@nist.gov

Base Severity: CRITICAL - 9.8 (Exploitability: 3.9, Impact: 5.9)
Vector: [CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H](https://www.first.org/cvss/calculator/3.1#CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H)

### Description

OpenFGA is an authorization/permission engine. Versions prior to version 0.2.4 are vulnerable to authorization bypass under certain conditions. Users whose model has a relation defined as a tupleset (the right hand side of a ‘from’ statement) that involves anything other than a direct relationship (e.g. ‘as self’) are vulnerable. Version 0.2.4 contains a patch for this issue.

### Weaknesses

| Weakness | Type | Source |
| --- | --- | --- |
| [[CWE-285]] | Secondary | security-advisories@github.com |
| [[NVD-CWE-Other]] | Primary | nvd@nist.gov |

### Configurations

#### Configuration 1 (Operator: OR, Negate: False)

##### Node 1

- cpe:2.3:a:openfga:openfga:\*:\*:\*:\*:\*:\*:\*:\*
  - End Version: 0.2.4 (Excluding)
"
CVE-2022-39352,"
## CVE Details

ID: CVE-2022-39352
As of 05/19/2026, this issue is not currently on the CISA Known Exploited Vulnerabilities List
Source Identifier: security-advisories@github.com
Published: 2022-11-08T08:15:09.790
Last Modified: 2024-11-21T07:18:05.920
Status: Modified

### Scores

#### CVSS 3.1 Score - Secondary - security-advisories@github.com

Base Severity: MEDIUM - 4.8 (Exploitability: 2.2, Impact: 2.5)
Vector: [CVSS:3.1/AV:N/AC:H/PR:N/UI:N/S:U/C:L/I:L/A:N](https://www.first.org/cvss/calculator/3.1#CVSS:3.1/AV:N/AC:H/PR:N/UI:N/S:U/C:L/I:L/A:N)

#### CVSS 3.1 Score - Primary - nvd@nist.gov

Base Severity: CRITICAL - 9.8 (Exploitability: 3.9, Impact: 5.9)
Vector: [CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H](https://www.first.org/cvss/calculator/3.1#CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H)

### Description

OpenFGA is a high-performance authorization/permission engine inspired by Google Zanzibar. Versions prior to 0.2.5 are vulnerable to authorization bypass under certain conditions. You are affected by this vulnerability if you added a tuple with a wildcard (*) assigned to a tupleset relation (the right hand side of a ‘from’ statement). This issue has been patched in version v0.2.5. This update is not backward compatible with any authorization model that uses wildcard on a tupleset relation.

### Weaknesses

| Weakness | Type | Source |
| --- | --- | --- |
| [[CWE-863]] | Secondary | security-advisories@github.com |
| [[CWE-863]] | Primary | nvd@nist.gov |

### Configurations

#### Configuration 1 (Operator: OR, Negate: False)

##### Node 1

- cpe:2.3:a:openfga:openfga:\*:\*:\*:\*:\*:\*:\*:\*
  - End Version: 0.2.5 (Excluding)
"
CVE-2023-35933,"
## CVE Details

ID: CVE-2023-35933
As of 05/19/2026, this issue is not currently on the CISA Known Exploited Vulnerabilities List
Source Identifier: security-advisories@github.com
Published: 2023-06-26T20:15:10.580
Last Modified: 2024-11-21T08:09:00.350
Status: Modified

### Scores

#### CVSS 3.1 Score - Secondary - security-advisories@github.com

Base Severity: MEDIUM - 5.9 (Exploitability: 2.2, Impact: 3.6)
Vector: [CVSS:3.1/AV:N/AC:H/PR:N/UI:N/S:U/C:N/I:N/A:H](https://www.first.org/cvss/calculator/3.1#CVSS:3.1/AV:N/AC:H/PR:N/UI:N/S:U/C:N/I:N/A:H)

#### CVSS 3.1 Score - Primary - nvd@nist.gov

Base Severity: HIGH - 7.5 (Exploitability: 3.9, Impact: 3.6)
Vector: [CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H](https://www.first.org/cvss/calculator/3.1#CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H)

### Description

OPenFGA is an open source authorization/permission engine built for developers. OpenFGA versions v1.1.0 and prior are vulnerable to a DoS attack when Check and ListObjects calls are executed against authorization models that contain circular relationship definitions. Users are affected by this vulnerability if they are using OpenFGA v1.1.0 or earlier, and if you are executing `Check` or `ListObjects` calls against a vulnerable authorization model. Users are advised to upgrade to version 1.1.1. There are no known workarounds for this vulnerability. Users that do not have circular relationships in their models are not affected.

### Weaknesses

| Weakness | Type | Source |
| --- | --- | --- |
| [[CWE-835]] | Secondary | security-advisories@github.com |

### Configurations

#### Configuration 1 (Operator: OR, Negate: False)

##### Node 1

- cpe:2.3:a:openfga:openfga:\*:\*:\*:\*:\*:\*:\*:\*
  - End Version: 1.1.1 (Excluding)
"
CVE-2023-43645,"
## CVE Details

ID: CVE-2023-43645
As of 05/19/2026, this issue is not currently on the CISA Known Exploited Vulnerabilities List
Source Identifier: security-advisories@github.com
Published: 2023-09-27T15:19:34.330
Last Modified: 2024-11-21T08:24:32.093
Status: Modified

### Scores

#### CVSS 3.1 Score - Secondary - security-advisories@github.com

Base Severity: MEDIUM - 5.9 (Exploitability: 2.2, Impact: 3.6)
Vector: [CVSS:3.1/AV:N/AC:H/PR:N/UI:N/S:U/C:N/I:N/A:H](https://www.first.org/cvss/calculator/3.1#CVSS:3.1/AV:N/AC:H/PR:N/UI:N/S:U/C:N/I:N/A:H)

#### CVSS 3.1 Score - Primary - nvd@nist.gov

Base Severity: MEDIUM - 5.9 (Exploitability: 2.2, Impact: 3.6)
Vector: [CVSS:3.1/AV:N/AC:H/PR:N/UI:N/S:U/C:N/I:N/A:H](https://www.first.org/cvss/calculator/3.1#CVSS:3.1/AV:N/AC:H/PR:N/UI:N/S:U/C:N/I:N/A:H)

### Description

OpenFGA is an authorization/permission engine built for developers and inspired by Google Zanzibar. OpenFGA is vulnerable to a denial of service attack when certain Check calls are executed against authorization models that contain circular relationship definitions. When the call is made, it's possible for the server to exhaust resources and die. Users are advised to upgrade to v1.3.2 and update any offending models. There are no known workarounds for this vulnerability. Note that for models which contained cycles or a relation definition that has the relation itself in its evaluation path, checks and queries that require evaluation will no longer be evaluated on v1.3.2+ and will return errors instead. Users who do not have cyclic models are unaffected.

### Weaknesses

| Weakness | Type | Source |
| --- | --- | --- |
| [[CWE-835]] | Secondary | security-advisories@github.com |

### Configurations

#### Configuration 1 (Operator: OR, Negate: False)

##### Node 1

- cpe:2.3:a:openfga:openfga:\*:\*:\*:\*:\*:\*:\*:\*
  - End Version: 1.3.2 (Excluding)
"
CVE-2024-23820,"
## CVE Details

ID: CVE-2024-23820
As of 05/19/2026, this issue is not currently on the CISA Known Exploited Vulnerabilities List
Source Identifier: security-advisories@github.com
Published: 2024-01-26T17:15:13.287
Last Modified: 2024-11-21T08:58:29.340
Status: Modified

### Scores

#### CVSS 3.1 Score - Secondary - security-advisories@github.com

Base Severity: MEDIUM - 5.3 (Exploitability: 1.6, Impact: 3.6)
Vector: [CVSS:3.1/AV:N/AC:H/PR:L/UI:N/S:U/C:N/I:N/A:H](https://www.first.org/cvss/calculator/3.1#CVSS:3.1/AV:N/AC:H/PR:L/UI:N/S:U/C:N/I:N/A:H)

#### CVSS 3.1 Score - Primary - nvd@nist.gov

Base Severity: MEDIUM - 6.5 (Exploitability: 2.8, Impact: 3.6)
Vector: [CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:N/I:N/A:H](https://www.first.org/cvss/calculator/3.1#CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:N/I:N/A:H)

### Description

OpenFGA, an authorization/permission engine, is vulnerable to a denial of service attack in versions prior to 1.4.3. In some scenarios that depend on the model and tuples used, a call to `ListObjects` may not  release memory properly. So when a sufficiently high number of those calls are executed, the OpenFGA server can create an `out of memory` error and terminate. Version 1.4.3 contains a patch for this issue.

### Weaknesses

| Weakness | Type | Source |
| --- | --- | --- |
| [[CWE-770]] | Secondary | security-advisories@github.com |
| [[CWE-401]] | Primary | nvd@nist.gov |

### Configurations

#### Configuration 1 (Operator: OR, Negate: False)

##### Node 1

- cpe:2.3:a:openfga:openfga:\*:\*:\*:\*:\*:\*:\*:\*
  - End Version: 1.4.3 (Excluding)
"
CVE-2024-31452,"
## CVE Details

ID: CVE-2024-31452
As of 05/19/2026, this issue is not currently on the CISA Known Exploited Vulnerabilities List
Source Identifier: security-advisories@github.com
Published: 2024-04-16T22:15:35.003
Last Modified: 2026-01-05T16:20:42.307
Status: Analyzed

### Scores

#### CVSS 3.1 Score - Secondary - security-advisories@github.com

Base Severity: HIGH - 8.1 (Exploitability: 2.2, Impact: 5.9)
Vector: [CVSS:3.1/AV:N/AC:H/PR:N/UI:N/S:U/C:H/I:H/A:H](https://www.first.org/cvss/calculator/3.1#CVSS:3.1/AV:N/AC:H/PR:N/UI:N/S:U/C:H/I:H/A:H)

#### CVSS 3.1 Score - Primary - nvd@nist.gov

Base Severity: CRITICAL - 9.8 (Exploitability: 3.9, Impact: 5.9)
Vector: [CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H](https://www.first.org/cvss/calculator/3.1#CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H)

### Description

OpenFGA is a high-performance and flexible authorization/permission engine. Some end users of OpenFGA v1.5.0 or later are vulnerable to authorization bypass when calling Check or ListObjects APIs. You are very likely affected if your model involves exclusion (e.g. `a but not b`) or intersection (e.g. `a and b`). This vulnerability is fixed in v1.5.3.

### Weaknesses

| Weakness | Type | Source |
| --- | --- | --- |
| [[CWE-863]] | Secondary | security-advisories@github.com |

### Configurations

#### Configuration 1 (Operator: OR, Negate: False)

##### Node 1

- cpe:2.3:a:openfga:openfga:\*:\*:\*:\*:\*:\*:\*:\*
  - Start Version:  1.5.0 (Including)
  - End Version: 1.5.3 (Excluding)
"
