cve,owner,repo,patch,commit_count,diff_tokens,ranker_rank,year,repo_size_bucket,diff_bucket,ranker_bucket,year_bucket,language,cwe_family
CVE-2014-0143,qemu,qemu,509a41bab5306181044b5fff02eadf96d9c8676a,95630,229,2904,2014,>10k,<5k,>100,2012-2014,C,CWE-682: Incorrect Calculation
CVE-2014-0146,qemu,qemu,11b128f4062dd7f89b14abc8877ff20d41b28be9,95630,267,1,2014,>10k,<5k,top-1,2012-2014,C,CWE-710: Improper Adherence to Coding Standards
CVE-2017-5898,qemu,qemu,c7dfbf322595ded4e70b626bf83158a9f3807c6a,95630,57,1,2017,>10k,<5k,top-1,2015-2017,C,CWE-682: Incorrect Calculation
CVE-2012-6075,qemu,qemu,b0d9ffcd0251161c7c92f94804dcf599dfa3edeb,95630,121,1,2012,>10k,<5k,top-1,2012-2014,C,CWE-664: Improper Control of a Resource Through its Lifetime
CVE-2017-7863,FFmpeg,FFmpeg,e477f09d0b3619f3d29173b2cd593e17e2d1978e,97430,175,2207,2017,>10k,<5k,>100,2015-2017,C,CWE-664: Improper Control of a Resource Through its Lifetime
CVE-2013-0855,FFmpeg,FFmpeg,3920d1387834e2bc334aff9f518f4beb24e470bd,97430,66,85,2013,>10k,<5k,top-11-100,2012-2014,C,Unknown
CVE-2012-2790,FFmpeg,FFmpeg,2837d8dc276760db1821b81df3f794a90bfa56e6,97430,69,1,2012,>10k,<5k,top-1,2012-2014,C,Unknown
CVE-2012-0853,FFmpeg,FFmpeg,9af6abdc17deb95c9b1f1d9242ba49b8b5e0b016,97430,52,193,2012,>10k,<5k,>100,2012-2014,C,CWE-707: Improper Neutralization
CVE-2012-2789,FFmpeg,FFmpeg,97a5addfcf0029d0f5538ed70cb38cae4108a618,97430,92,5,2012,>10k,<5k,top-2-10,2012-2014,C,Unknown
CVE-2014-9602,FFmpeg,FFmpeg,93a5a16f136d095d23610f57bdad10ba88120fba,97430,137,9,2014,>10k,<5k,top-2-10,2012-2014,C,Unknown
CVE-2018-10001,FFmpeg,FFmpeg,47b7c68ae54560e2308bdb6be4fb076c73b93081,97430,199,258,2018,>10k,<5k,>100,2018-2020,C,CWE-664: Improper Control of a Resource Through its Lifetime
CVE-2016-2213,FFmpeg,FFmpeg,0aada30510d809bccfd539a90ea37b61188f2cb4,97430,112,71,2016,>10k,<5k,top-11-100,2015-2017,C,CWE-664: Improper Control of a Resource Through its Lifetime
CVE-2018-1999010,FFmpeg,FFmpeg,cced03dd667a5df6df8fd40d8de0bff477ee02e8,97430,304,169,2018,>10k,<5k,>100,2018-2020,C,CWE-664: Improper Control of a Resource Through its Lifetime
CVE-2011-0480,FFmpeg,FFmpeg,13184036a6b1b1d4b61c91118c0896e9ad4634c3,97430,121,78,2011,>10k,<5k,top-11-100,2009-2011,C,CWE-664: Improper Control of a Resource Through its Lifetime
CVE-2015-8742,wireshark,wireshark,d48b0eff28c995947ac3f8d842ddd9b50dd5798d,198941,219,27,2015,>10k,<5k,top-11-100,2015-2017,C,CWE-707: Improper Neutralization
CVE-2016-2522,wireshark,wireshark,9b2f3f7c5c9205381cb72e42b66e97d8ed3abf63,198941,170,1,2016,>10k,<5k,top-1,2015-2017,C,CWE-664: Improper Control of a Resource Through its Lifetime
CVE-2015-8723,wireshark,wireshark,40b283181c63cb28bc6f58d80315eccca6650da0,198941,162,71,2015,>10k,<5k,top-11-100,2015-2017,C,CWE-707: Improper Neutralization
CVE-2014-6424,wireshark,wireshark,44698259b1f5865c60323acaf2a633654a2abe81,198941,41,777,2014,>10k,<5k,>100,2012-2014,C,CWE-664: Improper Control of a Resource Through its Lifetime
CVE-2020-17498,wireshark,wireshark,79576219c92e252c0700cdbe729bfb0fe6c72bd9,198941,177,5,2020,>10k,<5k,top-2-10,2018-2020,C,CWE-664: Improper Control of a Resource Through its Lifetime
CVE-2018-9262,wireshark,wireshark,b434e0a03be45ed796af7271972672a0b43cffa8,198941,271,23,2018,>10k,<5k,top-11-100,2018-2020,C,CWE-707: Improper Neutralization
CVE-2019-5717,wireshark,wireshark,3cccd4ec5b922e79afd134db4f0c9acb10bf7202,198941,235,15,2019,>10k,<5k,top-11-100,2018-2020,C,CWE-707: Improper Neutralization
CVE-2019-9208,wireshark,wireshark,34873a20eb489562098c5a58085ae783f869525c,198941,708,7,2019,>10k,<5k,top-2-10,2018-2020,C,CWE-710: Improper Adherence to Coding Standards
CVE-2018-14368,wireshark,wireshark,a03eacc7aabd04a6fd0db978e0d7597220ac0515,198941,259,961,2018,>10k,<5k,>100,2018-2020,C,CWE-691: Insufficient Control Flow Management
CVE-2015-8730,wireshark,wireshark,d2644aef369af0667220b5bd69996915b29d753d,198941,1278,1409,2015,>10k,<5k,>100,2015-2017,C,CWE-707: Improper Neutralization
CVE-2016-7417,php,php-src,ecb7f58a069be0dec4a6131b6351a761f808f22e,231982,227,23,2016,>10k,<5k,top-11-100,2015-2017,C,CWE-707: Improper Neutralization
CVE-2018-7584,php,php-src,523f230c831d7b33353203fa34aee4e92ac12bba,231982,150,15,2018,>10k,<5k,top-11-100,2018-2020,C,CWE-664: Improper Control of a Resource Through its Lifetime
CVE-2013-4248,php,php-src,2874696a5a8d46639d261571f915c493cd875897,231982,599,75,2013,>10k,<5k,top-11-100,2012-2014,C,CWE-707: Improper Neutralization
CVE-2016-7416,php,php-src,6d55ba265637d6adf0ba7e9c9ef11187d1ec2f5b,231982,29,57,2016,>10k,<5k,top-11-100,2015-2017,C,CWE-664: Improper Control of a Resource Through its Lifetime
CVE-2016-3141,php,php-src,b1bd4119bcafab6f9a8f84d92cd65eec3afeface,231982,293,13,2016,>10k,<5k,top-11-100,2015-2017,C,CWE-664: Improper Control of a Resource Through its Lifetime
CVE-2015-3329,php,php-src,f59b67ae50064560d7bfcdb0d6a8ab284179053c,231982,198,1,2015,>10k,<5k,top-1,2015-2017,C,CWE-664: Improper Control of a Resource Through its Lifetime
CVE-2016-3185,php,php-src,eaf4e77190d402ea014207e9a7d5da1a4f3727ba,231982,125,1,2016,>10k,<5k,top-1,2015-2017,C,CWE-707: Improper Neutralization
CVE-2015-5589,php,php-src,bf58162ddf970f63502837f366930e44d6a992cf,231982,839,35,2015,>10k,<5k,top-11-100,2015-2017,C,CWE-707: Improper Neutralization
CVE-2017-11147,php,php-src,e5246580a85f031e1a3b8064edbaa55c1643a451,231982,107,123,2017,>10k,<5k,>100,2015-2017,C,CWE-664: Improper Control of a Resource Through its Lifetime
CVE-2014-3515,php,php-src,88223c5245e9b470e1e6362bfd96829562ffe6ab,231982,225,1,2014,>10k,<5k,top-1,2012-2014,C,Unknown
CVE-2020-27153,bluez,bluez,1cd644db8c23a2f530ddb93cebed7dacc5f5721a,27990,315,219,2020,>10k,<5k,>100,2018-2020,C,CWE-664: Improper Control of a Resource Through its Lifetime
CVE-2021-3658,bluez,bluez,b497b5942a8beb8f89ca1c359c54ad67ec843055,27990,261,51,2021,>10k,<5k,top-11-100,2021-2024,C,CWE-284: Improper Access Control
CVE-2022-0204,bluez,bluez,591c546c536b42bef696d027f64aa22434f8c3f0,27990,162,855,2022,>10k,<5k,>100,2021-2024,C,CWE-664: Improper Control of a Resource Through its Lifetime
CVE-2021-3905,openvswitch,ovs,803ed12e31b0377c37d7aa8c94b3b92f2081e349,20256,44,67,2021,>10k,<5k,top-11-100,2021-2024,C,CWE-664: Improper Control of a Resource Through its Lifetime
CVE-2018-20456,radare,radare2,9b46d38dd3c4de6048a488b655c7319f845af185,32970,112,216,2018,>10k,<5k,>100,2018-2020,C,CWE-664: Improper Control of a Resource Through its Lifetime
CVE-2017-16357,radare,radare2,0b973e28166636e0ff1fad80baa0385c9c09c53a,32970,98,15,2017,>10k,<5k,top-11-100,2015-2017,C,CWE-664: Improper Control of a Resource Through its Lifetime
CVE-2017-6387,radare,radare2,ead645853a63bf83d8386702cad0cf23b31d7eeb,32970,95,7,2017,>10k,<5k,top-2-10,2015-2017,C,CWE-664: Improper Control of a Resource Through its Lifetime
CVE-2017-16359,radare,radare2,fbaf24bce7ea4211e4608b3ab6c1b45702cb243d,32970,195,7,2017,>10k,<5k,top-2-10,2015-2017,C,CWE-710: Improper Adherence to Coding Standards
CVE-2017-9520,radare,radare2,f85bc674b2a2256a364fe796351bc1971e106005,32970,215,3,2017,>10k,<5k,top-2-10,2015-2017,C,CWE-664: Improper Control of a Resource Through its Lifetime
CVE-2017-9761,radare,radare2,00e8f205475332d7842d0f0d1481eeab4e83017c,32970,230,128,2017,>10k,<5k,>100,2015-2017,C,CWE-664: Improper Control of a Resource Through its Lifetime
CVE-2017-6194,radare,radare2,72794dc3523bbd5bb370de3c5857cb736c387e18,32970,181,27,2017,>10k,<5k,top-11-100,2015-2017,C,CWE-664: Improper Control of a Resource Through its Lifetime
CVE-2018-19843,radare,radare2,f17bfd9f1da05f30f23a4dd05e9d2363e1406948,32970,75,126,2018,>10k,<5k,>100,2018-2020,C,CWE-664: Improper Control of a Resource Through its Lifetime
CVE-2018-20460,radare,radare2,df167c7db545953bb7f71c72e98e7a3ca0c793bf,32970,55,59,2018,>10k,<5k,top-11-100,2018-2020,C,CWE-664: Improper Control of a Resource Through its Lifetime
CVE-2018-12321,radare,radare2,224e6bc13fa353dd3b7f7a2334588f1c4229e58d,32970,111,1,2018,>10k,<5k,top-1,2018-2020,C,CWE-664: Improper Control of a Resource Through its Lifetime
CVE-2022-1222,gpac,gpac,7f060bbb72966cae80d6fee338d0b07fa3fc06e1,17194,124,10000,2022,>10k,<5k,>100,2021-2024,C,CWE-691: Insufficient Control Flow Management
CVE-2020-19481,gpac,gpac,2320eb73afba753b39b7147be91f7be7afc0eeb7,17194,122,962,2020,>10k,<5k,>100,2018-2020,C,CWE-664: Improper Control of a Resource Through its Lifetime
CVE-2021-32132,gpac,gpac,e74be5976a6fee059c638050a237893f7e9a3b23,17194,645,270,2021,>10k,<5k,>100,2021-2024,C,CWE-710: Improper Adherence to Coding Standards
CVE-2021-31259,gpac,gpac,3b84ffcbacf144ce35650df958432f472b6483f8,17194,42,109,2021,>10k,<5k,>100,2021-2024,C,CWE-710: Improper Adherence to Coding Standards
CVE-2021-40566,gpac,gpac,96047e0e6166407c40cc19f4e94fb35cd7624391,17194,355,90,2021,>10k,<5k,top-11-100,2021-2024,C,CWE-664: Improper Control of a Resource Through its Lifetime
CVE-2021-40572,gpac,gpac,7bb1b4a4dd23c885f9db9f577dfe79ecc5433109,17194,52,142,2021,>10k,<5k,>100,2021-2024,C,CWE-664: Improper Control of a Resource Through its Lifetime
CVE-2022-1441,gpac,gpac,3dbe11b37d65c8472faf0654410068e5500b3adb,17194,85,23,2022,>10k,<5k,top-11-100,2021-2024,C,CWE-664: Improper Control of a Resource Through its Lifetime
CVE-2021-40567,gpac,gpac,f5a038e6893019ee471b6a57490cf7a495673816,17194,54,161,2021,>10k,<5k,>100,2021-2024,C,Unknown
CVE-2021-30199,gpac,gpac,b2db2f99b4c30f96e17b9a14537c776da6cb5dca,17194,103,19,2021,>10k,<5k,top-11-100,2021-2024,C,CWE-710: Improper Adherence to Coding Standards
CVE-2021-30014,gpac,gpac,51cdb67ff7c5f1242ac58c5aa603ceaf1793b788,17194,532,33,2021,>10k,<5k,top-11-100,2021-2024,C,CWE-682: Incorrect Calculation
CVE-2018-14363,neomutt,neomutt,9bfab35522301794483f8f9ed60820bdec9be59e,89039,228,143,2018,>10k,<5k,>100,2018-2020,C,CWE-664: Improper Control of a Resource Through its Lifetime
CVE-2018-14350,neomutt,neomutt,1b0f0d0988e6df4e32e9f4bf8780846ea95d4485,89039,228,3,2018,>10k,<5k,top-2-10,2018-2020,C,CWE-664: Improper Control of a Resource Through its Lifetime
CVE-2018-14353,neomutt,neomutt,65d64a5b60a4a3883f2cd799d92c6091d8854f23,89039,228,1,2018,>10k,<5k,top-1,2018-2020,C,CWE-682: Incorrect Calculation
CVE-2018-14356,neomutt,neomutt,93b8ac558752d09e1c56d4f1bc82631316fa9c82,89039,228,156,2018,>10k,<5k,>100,2018-2020,C,CWE-664: Improper Control of a Resource Through its Lifetime
CVE-2018-14351,neomutt,neomutt,3c49c44be9b459d9c616bcaef6eb5d51298c1741,89039,228,218,2018,>10k,<5k,>100,2018-2020,C,CWE-707: Improper Neutralization
CVE-2018-14358,neomutt,neomutt,1b0f0d0988e6df4e32e9f4bf8780846ea95d4485,89039,228,5,2018,>10k,<5k,top-2-10,2018-2020,C,CWE-664: Improper Control of a Resource Through its Lifetime
CVE-2018-14360,neomutt,neomutt,6296f7153f0c9d5e5cd3aaf08f9731e56621bdd3,89039,228,7,2018,>10k,<5k,top-2-10,2018-2020,C,CWE-664: Improper Control of a Resource Through its Lifetime
CVE-2018-14354,neomutt,neomutt,95e80bf9ff10f68cb6443f760b85df4117cb15eb,89039,228,260,2018,>10k,<5k,>100,2018-2020,C,CWE-707: Improper Neutralization
CVE-2018-14357,neomutt,neomutt,e52393740334443ae0206cab2d7caef381646725,89039,228,267,2018,>10k,<5k,>100,2018-2020,C,CWE-707: Improper Neutralization
CVE-2018-14359,neomutt,neomutt,6f163e07ae68654d7ac5268cbb7565f6df79ad85,89039,228,85,2018,>10k,<5k,top-11-100,2018-2020,C,CWE-664: Improper Control of a Resource Through its Lifetime
CVE-2014-9114,karelzak,util-linux,89e90ae7b2826110ea28c1c0eb8e7c56c3907bdc,18861,451,69,2014,>10k,<5k,top-11-100,2012-2014,C,CWE-707: Improper Neutralization
CVE-2015-5224,karelzak,util-linux,bde91c85bdc77975155058276f99d2e0f5eab5a9,18861,600,1,2015,>10k,<5k,top-1,2015-2017,C,CWE-664: Improper Control of a Resource Through its Lifetime
CVE-2017-2616,karelzak,util-linux,dffab154d29a288aa171ff50263ecc8f2e14a891,18861,130,507,2017,>10k,<5k,>100,2015-2017,C,CWE-284: Improper Access Control
CVE-2021-37600,karelzak,util-linux,1c9143d0c1f979c3daf10e1c37b5b1e916c22a1c,18861,51,62,2021,>10k,<5k,top-11-100,2021-2024,C,CWE-682: Incorrect Calculation
CVE-2015-6563,openssh,openssh-portable,d4697fe9a28dab7255c60433e4dd23cf7fce8a8b,12853,73,29,2015,>10k,<5k,top-11-100,2015-2017,C,CWE-707: Improper Neutralization
CVE-2015-6564,openssh,openssh-portable,5e75f5198769056089fb06c4d738ab0e5abc66f7,12853,65,19,2015,>10k,<5k,top-11-100,2015-2017,C,Unknown
CVE-2016-6515,openssh,openssh-portable,fcd135c9df440bcd2d5870405ad3311743d78d97,12853,127,62,2016,>10k,<5k,top-11-100,2015-2017,C,CWE-707: Improper Neutralization
CVE-2016-8858,openssh,openssh-portable,ec165c392ca54317dbe3064a8c200de6531e89ad,12853,81,35,2016,>10k,<5k,top-11-100,2015-2017,C,Unknown
CVE-2018-20685,openssh,openssh-portable,6010c0303a422a9c5fa8860c061bf7105eb7f8b2,12853,117,17,2018,>10k,<5k,top-11-100,2018-2020,C,CWE-284: Improper Access Control
CVE-2020-12062,openssh,openssh-portable,aad87b88fc2536b1ea023213729aaf4eaabe1894,12853,785,106,2020,>10k,<5k,>100,2018-2020,C,CWE-707: Improper Neutralization
CVE-2021-28041,openssh,openssh-portable,e04fd6dde16de1cdc5a4d9946397ff60d96568db,12853,606,143,2021,>10k,<5k,>100,2021-2024,C,CWE-664: Improper Control of a Resource Through its Lifetime
CVE-2021-31571,FreeRTOS,FreeRTOS-Kernel,47338393f1f79558f6144213409f09f81d7c4837,96994,228,20,2021,>10k,<5k,top-11-100,2021-2024,C,CWE-682: Incorrect Calculation
CVE-2021-31572,FreeRTOS,FreeRTOS-Kernel,d05b9c123f2bf9090bce386a244fc934ae44db5b,96994,228,29,2021,>10k,<5k,top-11-100,2021-2024,C,CWE-682: Incorrect Calculation
CVE-2021-32020,FreeRTOS,FreeRTOS-Kernel,c7a9a01c94987082b223d3e59969ede64363da63,96994,228,1,2021,>10k,<5k,top-1,2021-2024,C,CWE-664: Improper Control of a Resource Through its Lifetime
CVE-2012-1013,krb5,krb5,c5be6209311d4a8f10fda37d0d3f876c1b33b77b,20182,52,1,2012,>10k,<5k,top-1,2012-2014,C,Unknown
CVE-2014-5354,krb5,krb5,04038bf3633c4b909b5ded3072dc88c8c419bf16,20182,234,1,2014,>10k,<5k,top-1,2012-2014,C,Unknown
CVE-2015-2697,krb5,krb5,f0c094a1b745d91ef2f9a4eae2149aac026a5789,20182,72,1,2015,>10k,<5k,top-1,2015-2017,C,CWE-664: Improper Control of a Resource Through its Lifetime
CVE-2014-9421,krb5,krb5,a197e92349a4aa2141b5dff12e9dd44c2a2166e3,20182,90,1,2014,>10k,<5k,top-1,2012-2014,C,Unknown
CVE-2015-8629,krb5,krb5,df17a1224a3406f57477bcd372c61e04c0e5a5bb,20182,80,1,2015,>10k,<5k,top-1,2015-2017,C,CWE-664: Improper Control of a Resource Through its Lifetime
CVE-2015-2694,krb5,krb5,e3b5a5e5267818c97750b266df50b6a3d4649604,20182,261,1,2015,>10k,<5k,top-1,2015-2017,C,Unknown
CVE-2018-5730,krb5,krb5,e1caf6fb74981da62039846931ebdffed71309d1,20182,1336,1,2018,>10k,<5k,top-1,2018-2020,C,CWE-707: Improper Neutralization
CVE-2018-20217,krb5,krb5,5e6d1796106df8ba6bc1973ee0917c170d929086,20182,218,7,2018,>10k,<5k,top-2-10,2018-2020,C,CWE-691: Insufficient Control Flow Management
CVE-2017-11462,krb5,krb5,56f7b1bc95a2a3eeb420e069e7655fb181ade5cf,20182,1268,3,2017,>10k,<5k,top-2-10,2015-2017,C,CWE-664: Improper Control of a Resource Through its Lifetime
CVE-2014-9422,krb5,krb5,6609658db0799053fbef0d7d0aa2f1fd68ef32d8,20182,102,1,2014,>10k,<5k,top-1,2012-2014,C,CWE-284: Improper Access Control
CVE-2015-0288,openssl,openssl,28a00bcd8e318da18031b2ac8778c64147cd54f9,35931,43,414,2015,>10k,<5k,>100,2015-2017,C,Unknown
CVE-2015-1788,openssl,openssl,4924b37ee01f71ae19c94a8934b80eeb2f677932,35931,148,13,2015,>10k,<5k,top-11-100,2015-2017,C,Unknown
CVE-2018-0739,openssl,openssl,4cabbb9f485ba7d1edcfbbd2aa8610159f94543e,35931,972,1,2018,>10k,<5k,top-1,2018-2020,C,CWE-691: Insufficient Control Flow Management
CVE-2016-7052,openssl,openssl,8b7c51a0e4a03895a657cf2eb8d5c2aa1ca3586f,35931,91,1,2016,>10k,<5k,top-1,2015-2017,C,CWE-710: Improper Adherence to Coding Standards
CVE-2016-2109,openssl,openssl,c62981390d6cf9e3d612c489b8b77c2913b25807,35931,280,166,2016,>10k,<5k,>100,2015-2017,C,Unknown
CVE-2014-3568,openssl,openssl,62f45cc27d07187b59551e4fad3db4e52ea73f2c,35931,272,154,2014,>10k,<5k,>100,2012-2014,C,Unknown
CVE-2014-3505,openssl,openssl,bff1ce4e6a1c57c3d0a5f9e4f85ba6385fccfe8b,35931,97,65,2014,>10k,<5k,top-11-100,2012-2014,C,Unknown
CVE-2016-0799,openssl,openssl,9cb177301fdab492e4cfef376b28339afe3ef663,35931,1535,1,2016,>10k,<5k,top-1,2015-2017,C,CWE-664: Improper Control of a Resource Through its Lifetime
CVE-2014-3508,openssl,openssl,0042fb5fd1c9d257d713b15a1f45da05cf5c1c87,35931,485,63,2014,>10k,<5k,top-11-100,2012-2014,C,CWE-664: Improper Control of a Resource Through its Lifetime
CVE-2016-2182,openssl,openssl,07bed46f332fce8c1d157689a2cdf915a982ae34,35931,153,1,2016,>10k,<5k,top-1,2015-2017,C,CWE-664: Improper Control of a Resource Through its Lifetime
CVE-2020-27764,ImageMagick,ImageMagick6,3e21bc8a58b4ae38d24c7e283837cc279f35b6a5,102583,228,1115,2020,>10k,<5k,>100,2018-2020,C,CWE-682: Incorrect Calculation
CVE-2021-20224,ImageMagick,ImageMagick6,553054c1cb1e4e05ec86237afef76a32cd7c464d,102583,228,136,2021,>10k,<5k,>100,2021-2024,C,CWE-682: Incorrect Calculation
CVE-2021-3574,ImageMagick,ImageMagick6,cd7f9fb7751b0d59d5a74b12d971155caad5a792,102583,228,363,2021,>10k,<5k,>100,2021-2024,C,CWE-664: Improper Control of a Resource Through its Lifetime
CVE-2022-1115,ImageMagick,ImageMagick6,1f860f52bd8d58737ad883072203391096b30b51,102583,228,84,2022,>10k,<5k,top-11-100,2021-2024,C,CWE-664: Improper Control of a Resource Through its Lifetime
CVE-2022-3213,ImageMagick,ImageMagick6,1aea203eb36409ce6903b9e41fe7cb70030e8750,102583,228,49,2022,>10k,<5k,top-11-100,2021-2024,C,CWE-664: Improper Control of a Resource Through its Lifetime
CVE-2022-32545,ImageMagick,ImageMagick6,450949ed017f009b399c937cf362f0058eacc5fa,102583,228,653,2022,>10k,<5k,>100,2021-2024,C,CWE-682: Incorrect Calculation
CVE-2022-32546,ImageMagick,ImageMagick6,29c8abce0da56b536542f76a9ddfebdaab5b2943,102583,228,578,2022,>10k,<5k,>100,2021-2024,C,CWE-682: Incorrect Calculation
CVE-2022-32547,ImageMagick,ImageMagick6,dc070da861a015d3c97488fdcca6063b44d47a7b,102583,228,513,2022,>10k,<5k,>100,2021-2024,C,CWE-664: Improper Control of a Resource Through its Lifetime
CVE-2019-20218,sqlite,sqlite,a6c1a71cde082e09750465d5675699062922e387,27244,325,58,2019,>10k,<5k,top-11-100,2018-2020,C,CWE-703: Improper Check or Handling of Exceptional Conditions
CVE-2019-19603,sqlite,sqlite,527cbd4a104cb93bf3994b3dd3619a6299a78b13,27244,628,131,2019,>10k,<5k,>100,2018-2020,C,Unknown
CVE-2019-19924,sqlite,sqlite,8654186b0236d556aa85528c2573ee0b6ab71be3,27244,354,1,2019,>10k,<5k,top-1,2018-2020,C,CWE-703: Improper Check or Handling of Exceptional Conditions
CVE-2019-19242,sqlite,sqlite,57f7ece78410a8aae86aa4625fb7556897db384c,27244,403,17,2019,>10k,<5k,top-11-100,2018-2020,C,CWE-710: Improper Adherence to Coding Standards
CVE-2019-19926,sqlite,sqlite,8428b3b437569338a9d1e10c4cd8154acbe33089,27244,166,1,2019,>10k,<5k,top-1,2018-2020,C,CWE-710: Improper Adherence to Coding Standards
CVE-2019-19244,sqlite,sqlite,e59c562b3f6894f84c715772c4b116d7b5c01348,27244,297,1,2019,>10k,<5k,top-1,2018-2020,C,Unknown
CVE-2019-19646,sqlite,sqlite,ebd70eedd5d6e6a890a670b5ee874a5eae86b4dd,27244,331,1,2019,>10k,<5k,top-1,2018-2020,C,CWE-703: Improper Check or Handling of Exceptional Conditions
CVE-2019-19880,sqlite,sqlite,75e95e1fcd52d3ec8282edb75ac8cd0814095d54,27244,195,1,2019,>10k,<5k,top-1,2018-2020,C,CWE-710: Improper Adherence to Coding Standards
CVE-2019-19925,sqlite,sqlite,54d501092d88c0cf89bec4279951f548fb0b8618,27244,281,39,2019,>10k,<5k,top-11-100,2018-2020,C,CWE-664: Improper Control of a Resource Through its Lifetime
CVE-2019-19923,sqlite,sqlite,396afe6f6aa90a31303c183e11b2b2d4b7956b35,27244,396,1,2019,>10k,<5k,top-1,2018-2020,C,CWE-710: Improper Adherence to Coding Standards
CVE-2021-3839,DPDK,dpdk,6442c329b9d2ded0f44b27d2016aaba8ba5844c5,49838,228,1,2021,>10k,<5k,top-1,2021-2024,C,CWE-664: Improper Control of a Resource Through its Lifetime
CVE-2022-0669,DPDK,dpdk,af74f7db384ed149fe42b21dbd7975f8a54ef227,49838,228,11,2022,>10k,<5k,top-11-100,2021-2024,C,CWE-664: Improper Control of a Resource Through its Lifetime
CVE-2013-3722,OpenSIPS,opensips,54e027adfa486cfcf993828512b2e273aeb163c2,17865,27,71,2013,>10k,<5k,top-11-100,2012-2014,C,CWE-691: Insufficient Control Flow Management
CVE-2017-17439,heimdal,heimdal,1a6a6e462dc2ac6111f9e02c6852ddec4849b887,30782,90,3,2017,>10k,<5k,top-2-10,2015-2017,C,CWE-710: Improper Adherence to Coding Standards
CVE-2017-6594,heimdal,heimdal,b1e699103f08d6a0ca46a122193c9da65f6cf837,30782,827,1,2017,>10k,<5k,top-1,2015-2017,C,CWE-284: Improper Access Control
CVE-2021-3671,heimdal,heimdal,04171147948d0a3636bc6374181926f0fb2ec83a,30782,49,4,2021,>10k,<5k,top-2-10,2021-2024,C,CWE-710: Improper Adherence to Coding Standards
CVE-2014-3971,mongodb,mongo,c151e0660b9736fe66b224f1129a16871165251b,83653,121,308,2014,>10k,<5k,>100,2012-2014,C,CWE-707: Improper Neutralization
CVE-2016-6494,mongodb,mongo,035cf2afc04988b22cb67f4ebfd77e9b344cb6e0,83653,737,5,2016,>10k,<5k,top-2-10,2015-2017,C,CWE-664: Improper Control of a Resource Through its Lifetime
CVE-2018-12248,mruby,mruby,778500563a9f7ceba996937dc886bd8cde29b42b,12087,230,9,2018,>10k,<5k,top-2-10,2018-2020,C,CWE-664: Improper Control of a Resource Through its Lifetime
CVE-2022-0717,mruby,mruby,f72315575f78a9a773adbce0ee7d3ec33434cb76,12087,65,2,2022,>10k,<5k,top-2-10,2021-2024,C,CWE-664: Improper Control of a Resource Through its Lifetime
CVE-2022-1212,mruby,mruby,3cf291f72224715942beaf8553e42ba8891ab3c6,12087,51,1,2022,>10k,<5k,top-1,2021-2024,C,CWE-664: Improper Control of a Resource Through its Lifetime
CVE-2022-0614,mruby,mruby,ff3a5ebed6ffbe3e70481531cfb969b497aa73ad,12087,38,2,2022,>10k,<5k,top-2-10,2021-2024,C,CWE-664: Improper Control of a Resource Through its Lifetime
CVE-2022-0240,mruby,mruby,31fa3304049fc406a201a72293cce140f0557dca,12087,65,1,2022,>10k,<5k,top-1,2021-2024,C,CWE-710: Improper Adherence to Coding Standards
CVE-2022-0632,mruby,mruby,44f591aa8f7091e6ca6cb418e428ae6d4ceaf77d,12087,142,38,2022,>10k,<5k,top-11-100,2021-2024,C,CWE-710: Improper Adherence to Coding Standards
CVE-2022-0080,mruby,mruby,28ccc664e5dcd3f9d55173e9afde77c4705a9ab6,12087,70,10000,2022,>10k,<5k,>100,2021-2024,C,CWE-664: Improper Control of a Resource Through its Lifetime
CVE-2018-10191,mruby,mruby,1905091634a6a2925c911484434448e568330626,12087,62,34,2018,>10k,<5k,top-11-100,2018-2020,C,CWE-682: Incorrect Calculation
CVE-2022-0630,mruby,mruby,ff3a5ebed6ffbe3e70481531cfb969b497aa73ad,12087,38,4,2022,>10k,<5k,top-2-10,2021-2024,C,CWE-664: Improper Control of a Resource Through its Lifetime
CVE-2022-1106,mruby,mruby,7f5a490d09f4d56801ac3a3e4e39e03e1471b44c,12087,69,14,2022,>10k,<5k,top-11-100,2021-2024,C,CWE-664: Improper Control of a Resource Through its Lifetime
CVE-2019-20909,LibreDWG,libredwg,d7913b893bfa98fab27f05825dc4cab2d3a20c83,103201,228,1050,2019,>10k,<5k,>100,2018-2020,C,CWE-710: Improper Adherence to Coding Standards
CVE-2019-20911,LibreDWG,libredwg,c6f6668b82bfe595899cc820279ac37bb9ef16f5,103201,228,5297,2019,>10k,<5k,>100,2018-2020,C,CWE-691: Insufficient Control Flow Management
CVE-2019-20915,LibreDWG,libredwg,95cc9300430d35feb05b06a9badf678419463dbe,103201,228,3808,2019,>10k,<5k,>100,2018-2020,C,CWE-664: Improper Control of a Resource Through its Lifetime
CVE-2021-36080,LibreDWG,libredwg,9b6e0ff9ef02818df034fc42c3bd149a5ff89342,103201,228,174,2021,>10k,<5k,>100,2021-2024,C,CWE-664: Improper Control of a Resource Through its Lifetime
CVE-2015-3152,mysql,mysql-server,3bd5589e1a5a93f9c224badf983cd65c45215390,616147,228,16,2015,>10k,<5k,top-11-100,2015-2017,C,CWE-284: Improper Access Control
CVE-2016-0546,mysql,mysql-server,0dbd5a8797ed4bd18e8b883988fb62177eb0f73f,616147,228,1479,2016,>10k,<5k,>100,2015-2017,C,Unknown
